Guid	topic	image_text	Q	First_Image	Second_Image	A	Qcate	gemini	gpt4v
d5c4d4620dba11ecb1e81171463288e9	vista	"<First_Image>Title: Fenchurch street
Caption: Fenchurch street<\First_Image>
<Second_Image>Title: Fenchurch St station - main front 03
Caption: Fenchurch St station - main front 03<\Second_Image>"	"""Is the Sainbury's sign on Fenchurch Street lower than the sign at the front of Fenchurch Street Station that says ""GlamoUr?"""	30170838	30239009	"['""No, the Sainbury\'s sign on Fenchurch Street is not lower than the sign at the front of Fenchurch Street Station that says ""GlamoUr"".""']"	YesNo	 What is the name of the station that is located on Fenchurch Street in London?	What type of architectural design can be observed in the main front of the Fenchurch Street station as depicted in the second image, given the area is identified by Fenchurch Street in the first image?
d5c66d860dba11ecb1e81171463288e9	public art	"<First_Image>Title: Piazza dei Signori (Vicenza) - Statue of the Lion of Saint Mark
Caption: Piazza dei Signori (Vicenza) - Statue of the Lion of Saint Mark<\First_Image>
<Second_Image>Title: Venezia - Luigi Borro (1826-1886) - Monumento a Daniele Manin (1875) - 03 - Foto Giovanni Dall'Orto, 6-Aug-2007
Caption: Venezia - Luigi Borro (1826-1886) - Monumento a Daniele Manin (1875) - 03 - Foto Giovanni Dall'Orto, 6-Aug-2007 The monument to the Venetian patriot Daniele Manin, was erected in Venice in the middle of Campo Manin, the square which faces Manin's home (the statue looks towards it).<\Second_Image>"	"""Which of the sculpted lions is holding a book: Statue of the Lion of Saint Mark in Vicenza or Luigi Borro's - Monument to Daniele Manin (in Venice)?"""	30206588	30316502	"['""The statue of the Lion of Saint Mark in Vicenza is holding a book.""']"	choose	 What is the significance of the winged lion in Venice and what is the difference between the two lions shown in the images?	Considering the statue of the Lion of Saint Mark is situated in Piazza dei Signori, Vicenza, and the monument to Daniele Manin, a Venetian patriot, was erected in Venice by Luigi Borro, how do these monuments connect to the historical significance of Venice in relation to its territories during the period of the Venetian Republic?
d5c41ca20dba11ecb1e81171463288e9	Other	"<First_Image>Title: Riviera at Night (49560224208) (cropped)
Caption: Riviera at Night (49560224208) (cropped)<\First_Image>
<Second_Image>Title: Portorleans
Caption: Portorleans<\Second_Image>"	"""Are there more streetlights in front of Port Orleans than there are in front of The Rivera?"""	30365420	30025174	"['""cannot be answered""']"	YesNo	" Where is the hotel located in the first image?
A. New Orleans
B. Port Orleans
C. Las Vegas
D. Orlando"	"Which river that connects to the sea might provide a scenic backdrop for a nighttime photograph similar to ""Riviera at Night,"" and also be associated with a location known as ""Portorleans""?"
d5c15d500dba11ecb1e81171463288e9	public art	"<First_Image>Title: Statue of Leonardo DaVinci in Uffizi Alley, Florence, Italy
Caption: Statue of Leonardo DaVinci in Uffizi Alley, Florence, Italy Created by by Luigi Pampaloni<\First_Image>
<Second_Image>Title: Venice - Statue of Carlo Goldoni 01
Caption: Venice - Statue of Carlo Goldoni 01 Antonio Dal Zotto (1841-1918) Monument to playwright Carlo Goldoni (1883) in ""Campo San Bortolomio"" square in Venice.<\Second_Image>"	"""Are Leonardo in the Statue of Leonardo DaVinci in the Uffizi Alley, Florence, and Goldoni in the Statue of Carlo Goldoni in Venice holding the objects they are holding in the same hand?"""	30141561	30253000	"['""No, the two statues are not holding objects with the same hand respective to each other.""']"	YesNo	 Which of the following cities is not in Italy: Florence or Venice?	What do the statues of Leonardo DaVinci created by Luigi Pampaloni in Florence and Carlo Goldoni created by Antonio Dal Zotto in Venice indicate about the contribution of Italian artists to commemorating historical figures in public spaces across Italy?
d5bc51020dba11ecb1e81171463288e9	flora	"<First_Image>Title: Flower, Herbaceous peony ""Enshikou"" - Flickr - nekonomania
Caption: Flower, Herbaceous peony ""Enshikou"" - Flickr - nekonomania<\First_Image>
<Second_Image>Title: Florida tickseed (Coreopsis floridana) (6462812285)
Caption: Florida tickseed (Coreopsis floridana) (6462812285)<\Second_Image>"	"""Which flower's center glistens in a way that it appears wet; Coreopsis floridana or Herbaceous peony?"""	30364954	30358450	"['""Coreopsis floridana\'s center glistens in a way that it appears wet.""']"	choose	 What is the difference between a herbaceous peony and a Florida tickseed?	"What connection does the traditional usage of the herbaceous peony ""Enshikou"" in Chinese medicine have with the ecological role of the Florida tickseed in its native habitat?"
d5ca284a0dba11ecb1e81171463288e9	car	"<First_Image>Title: 2007 Lotus Exige Cup Car front
Caption: 2007 Lotus Exige Cup Car front<\First_Image>
<Second_Image>Title: Ferrari Enzo Ferrari
Caption: Ferrari Enzo Ferrari<\Second_Image>"	"""Between the Ferrari Enzo Ferrari and Lotus Exige Cup Car, which has headlights inset further into the chassis?"""	30095207	30067700	"['""The Ferrari Enzo Ferrari has headlights that are inset further into the chassis than the Lotus Exige Cup Car.""']"	choose	 What is the difference between the 2007 Lotus Exige Cup Car and the Ferrari Enzo Ferrari?	Which car, the 2007 Lotus Exige Cup or the Ferrari Enzo, has a larger image size in pixels?
d5c32ed20dba11ecb1e81171463288e9	Other	"<First_Image>Title: London 2366
Caption: London 2366<\First_Image>
<Second_Image>Title: London 2421
Caption: London 2421<\Second_Image>"	"""Is there a statue with a dragon on it in London?"""	30290169	30100184	"['""cannot be answered""']"	YesNo	 How did the buildings in London change between the years 2366 and 2421?	"How does the representation of London change from the image titled ""London 2366"" to the image titled ""London 2421""?"
d5c707fa0dba11ecb1e81171463288e9	rodent	"<First_Image>Title: Yellow-throated Marten with Red Jungle Fowl kill in Corbett National Park
Caption: Yellow-throated Marten with Red Jungle Fowl kill in Corbett National Park This rare event was captured in the Bijrani zone of Corbett TR, Uttarakhand, India during a winter morning safari.<\First_Image>
<Second_Image>Title: Xerus inauris 1
Caption: Xerus inauris 1 Cape Ground Squirrels emerge from communal burrow, close to Solitaire in the Namib desert, Namibia.<\Second_Image>"	"""Which animal has a darker tail; Yellow-throated_Marten or Nasua narica?"""	30300031	30124439	"['""The Yellow-throated Marten has a darker tail than the Nasua narica.""']"	choose	 What is the difference between the two images?	What is the connection between the habitat of the Yellow-throated Marten in Corbett National Park, Uttarakhand, India, and the habitat of the Cape Ground Squirrels near Solitaire in the Namib desert, Namibia, considering the geographical and environmental differences highlighted in the observed behaviors?
d5cd88640dba11ecb1e81171463288e9	keyboard instruments	"<First_Image>Title: Ferrand & Votey Parlor organ, Barr Colony Heritage Cultural Centre
Caption: Ferrand & Votey Parlor organ, Barr Colony Heritage Cultural Centre Barr Colony Heritage Cultural Centre: Parlor organ manufactured by Ferrand & Votey Organ Company, Detroit<\First_Image>
<Second_Image>Title: Wurlitzer Model 44 Electrostatic Reed Organ.png
Caption: Wurlitzer Model 44 Electrostatic Reed Organ.png<\Second_Image>"	"""Which organ has it's manufacturer city and state written on it; Parlor organ manufactured by Ferrand & Votey Organ Company, Detroit or Wurlitzer Model 44 Electrostatic Reed Organ?"""	30226507	30077357	"['""The parlor organ manufactured by Ferrand & Votey Organ Company, Detroit has its manufacturer city and state written on it.""']"	choose	 What is the difference between a reed organ and a pipe organ?	What is the relationship between the manufacturer of the Ferrand & Votey Parlor organ displayed at the Barr Colony Heritage Cultural Centre and the Wurlitzer Model 44 Electrostatic Reed Organ in terms of their contributions to musical instrument innovation?
d5cf27c80dba11ecb1e81171463288e9	Neoclassicism art	"<First_Image>Title: Delacroix - The Justice of Trajan, oil on canvas, 1858
Caption: Delacroix - The Justice of Trajan, oil on canvas, 1858<\First_Image>
<Second_Image>Title: Jan Miel Roman Carnival 1653
Caption: Jan Miel Roman Carnival 1653<\Second_Image>"	"""Are there animals being ridden in both the paintings ""Carnival in Rome"" and ""The Justice of Trajan""?"""	30292428	30136932	"['""Yes, both paintings have animals being ridden upon.""']"	YesNo	 How are the two paintings similar? How do they differ?	"How does the thematic focus on justice in Delacroix's ""The Justice of Trajan"" (1858) compare to the depiction of societal festivities in Jan Miel's ""Roman Carnival"" (1653)?"
d5c754120dba11ecb1e81171463288e9	vista	"<First_Image>Title: Sky Gardens on 27 November 2007
Caption: Sky Gardens on 27 November 2007<\First_Image>
<Second_Image>Title: One world trade center august 2019
Caption: One world trade center august 2019 One World Trade Center in New York City is the tallest building in North America.<\Second_Image>"	"""Which building is more proportionately taller than its nearest neighbors, the Meguro Sky Garden or the One World Trade Center?"""	30037123	30306574	"['""The Meguro Sky Garden is more proportionately taller than the One World Trade Center.""']"	choose	 What is the name of the tallest building in North America, and when was it built?	What is the connection between the Sky Gardens pictured on 27 November 2007 and the building that was the tallest in North America as of August 2019?
d5c80bbe0dba11ecb1e81171463288e9	tourist attractions	"<First_Image>Title: Ocean Park 98, Hong Kong, Mar 06
Caption: Ocean Park 98, Hong Kong, Mar 06  Ocean Park, Hong Kong.<\First_Image>
<Second_Image>Title: Oceanpark-entrance
Caption: Oceanpark-entrance<\Second_Image>"	"""Which color is on the clothing worn by the mascot above the Ocean Park entrance is also the predominant color of some of the gondolas at Ocean Park?"""	30172121	30122066	"['""Red is on the clothing worn by the mascot above the Ocean Park entrance, and is also the predominant color of some of the gondolas at Ocean Park.""']"	color	 What is the significance of the number 30 in the second image?	"What is the connection between the image titled ""Ocean Park 98, Hong Kong, Mar 06"" and the one titled ""Oceanpark-entrance,"" considering their visual content and titles?"
d5cc2c440dba11ecb1e81171463288e9	plaza	"<First_Image>Title: Bartholomew the Apostle by Pyotr Basin
Caption: Bartholomew the Apostle by Pyotr Basin From the series of murals Twelve Apostles painted after studies on cardboard by Karl Bryullov. The knife in the hand of Bartholomew symbolizes the martyrdom of the apostle: according to the most widespread version of his death he was flayed.<\First_Image>
<Second_Image>Title: Bartholomaeus San Giovanni in Laterano 2006-09-07
Caption: Bartholomaeus San Giovanni in Laterano 2006-09-07 St. Bartholomew by Pierre Le Gros the Younger. Nave of the Basilica of St. John Lateran (Rome).<\Second_Image>"	"""Is Saint Bartholomew in the same position in the statue of St. Bartholomew by Pierre Le Gros the Younger as he is in the painting by Pyotr Basin?"""	30146029	30206009	"['""No, Saint Bartholomew is not in the same position in the statue of St. Bartholomew by Pierre Le Gros the Younger as he is in the painting by Pyotr Basin.""']"	YesNo	 What is the significance of the knife in the hand of Bartholomew the Apostle?	"What connection do the martyrdom symbol depicted in ""Bartholomew the Apostle"" by Pyotr Basin and the statue of St. Bartholomew by Pierre Le Gros the Younger in the Basilica of St. John Lateran share, and how does this link to the historical significance of Bartholomew's death?"
d5c407120dba11ecb1e81171463288e9	butterfly	"<First_Image>Title: Graellsia isabellae 5th instar sjh
Caption: Graellsia isabellae 5th instar sjh<\First_Image>
<Second_Image>Title: Deilephila elpenor, Russia, Arkhangelsk Region 05
Caption: Deilephila elpenor, Russia, Arkhangelsk Region 05 A color variety of the elephant hawk moth (Deilephila elpenor) larvae feeding on fireweed leaves (Arkhangelsk Region, near Myrny city, August 2018) and newly emerged imagoes of this species (June 2019). jpg<\Second_Image>"	"""What type of patterning is present on both a Deilephila elpenor caterpillar and a Graellsia isabellae 5th instar larva?"""	30113230	30228523	"['""There is a spotting pattern present on both the Deilephila elpenor caterpillar and a Graellsia isabellae 5th instar larva.""']"	Others	 What are the differences between the two species of caterpillars shown in the images?	What is the relationship between the diet of Deilephila elpenor larvae as depicted in the second image and the developmental stage of Graellsia isabellae shown in the first image?
d5c372980dba11ecb1e81171463288e9	Other	"<First_Image>Title: Hunters Point South Pk td (2019-04-14) 038 - Athletic Field
Caption: Hunters Point South Pk td (2019-04-14) 038 - Athletic Field The oval-shaped turf athletic field (a.k.a. ""<\First_Image>
<Second_Image>Title: Hunters Point South Pk td (2019-06-08) 044 - Pavilion
Caption: Hunters Point South Pk td (2019-06-08) 044 - Pavilion The west end and highest point of the pavilion of Hunter's Point South Park, on the east river at Center Boulevard and Borden Avenue in Hunters Point, Long Island City, Queens.<\Second_Image>"	"""Is there a sheltered structure I can stay under next to the athletic field in Hunter's Point South Park?"""	30360089	30101303	"['""There is a sheltered structure that you can stay under next to the athletic field in Hunter\'s Point South Park.""']"	YesNo	 What is the Hunters Point South Park athletic field used for?	Which pavilion, located at the highest point and west end on Center Boulevard and Borden Avenue in Hunters Point, Long Island City, Queens, could visitors see after enjoying a game at the oval-shaped turf athletic field in Hunter's Point South Park, as documented in April and June 2019?
d5c9e60a0dba11ecb1e81171463288e9	drum	"<First_Image>Title: Guiro Latin percussion
Caption: Guiro Latin percussion A Latin musical instrument called a Guiro, this one is used for school children<\First_Image>
<Second_Image>Title: Gitega drums
Caption: Gitega drums  Gitega drums are famous around the world. Burundi is the land of the sacred tambours.<\Second_Image>"	"""Which instrument is played by using friction more directly; Guiro  or Gitega drums?"""	30194107	30171985	"['""Of Guiro or Gitega drums, Guiro is played by using friction more directly.""']"	choose	 What are the differences and similarities between Guiro Latin percussion and Gitega drums?	Considering the Guiro Latin percussion is a musical instrument used for school children and Gitega drums are famous worldwide from Burundi, which instrument represents a form of educational tool in specific regions, and which is recognized globally for its cultural significance?
d5cbb9800dba11ecb1e81171463288e9	flora	"<First_Image>Title: Lily of the valley
Caption: Lily of the valley<\First_Image>
<Second_Image>Title: Lantana camara flowers 2
Caption: Lantana camara flowers 2  Lantana camara taken at the Cukurova University Campus in Adana Province of Turkey.<\Second_Image>"	"""Do the flowers on the Lily of the valley plant and the Lantana camarataken grow in multiples?"""	30277519	30115313	"['""The flowers on the Lily of the Valley plant and the Lantana camarataken both grow in multiples.""']"	YesNo	 What are the names of the flowers shown in the two images?	"Which compound is both a toxin found in ""Lily of the valley"" and used in medicine, and can also be indirectly related to ""Lantana camara"" through its geographical growth location's traditional herbal practices in Turkey?"
d5c579a80dba11ecb1e81171463288e9	plaza	"<First_Image>Title: Triacanthus biaculeatus, Mangalore (cropped)
Caption: Triacanthus biaculeatus, Mangalore (cropped)  Triacanthus biaculeatus, Mangalore, India. 16 cm<\First_Image>
<Second_Image>Title: Rhizoprionodon acutus mangalore
Caption: Rhizoprionodon acutus mangalore<\Second_Image>"	"""Which fish has yellow markings on it; Triacanthus biaculeatus or Rhizoprionodon acutus?"""	30229093	30247083	"['""The fish with yellow markings on it is the Triacanthus biaculeatus.""']"	choose	 What are the differences between Triacanthus biaculeatus and Rhizoprionodon acutus?	What is the relationship between the habitats of Triacanthus biaculeatus and Rhizoprionodon acutus, both located in Mangalore?
d5cd8cd80dba11ecb1e81171463288e9	college libraries	"<First_Image>Title: New library, State College, Pa (71307)
Caption: New library, State College, Pa (71307) Title: New library, State College, Pa. Subjects: Universities & colleges Places: Pennsylvania > Centre (county) > State College Notes: Title from item. Extent: 1 print (postcard): linen texture, color; 3 1/2 x 5 1/2 in. Accession #: 06 10 018335<\First_Image>
<Second_Image>Title: RRGBDSC05934 -Tomah Public Library
Caption: RRGBDSC05934 -Tomah Public Library Tomah Public Library, view of west side<\Second_Image>"	"""What can be seen outside the entrance of Tomah Public Library and New library of state College, PA?"""	30141223	30065661	"['""Lamps can be seen outside the entrance of both of these libraries.""']"	Others	 What is the architectural style of the New Library in State College, Pennsylvania? How does it compare to the Tomah Public Library in Tomah, Wisconsin?	What is the common type of building featured in both the New Library at State College, PA and the Tomah Public Library, and in which state are these buildings located?
d5cf32fe0dba11ecb1e81171463288e9	streets	"<First_Image>Title: Saitamakendo no2 Japanese,Saitama prefecture, kasukabe city1
Caption: Saitamakendo no2 Japanese,Saitama prefecture, kasukabe city1<\First_Image>
<Second_Image>Title: Saitamakendo no381 Japanese,Saitama prefecture, kawaguchi city
Caption: Saitamakendo no381 Japanese,Saitama prefecture, kawaguchi city<\Second_Image>"	"""Is there a bridge over the road at both Saitamakendo no. 381 in kawaguchi City and at Saitamakendo no. 02 in kasukabe city?"""	30344108	30364616	"['""No, there is not a bridge over the road at both Saitamakendo no. 381 in kawaguchi City and at Saitamakendo no. 02 in kasukabe city.""']"	YesNo	 What is the difference between the two images?	"What is the common prefecture for the cities of Kasukabe and Kawaguchi as represented in the images titled ""Saitamakendo no2 Japanese, Saitama prefecture, kasukabe city1"" and ""Saitamakendo no381 Japanese, Saitama prefecture, kawaguchi city""?"
d5c749180dba11ecb1e81171463288e9	art college buildings	"<First_Image>Title: UF-BartramHall
Caption: UF-BartramHall  Bartram Hall at the University of Florida<\First_Image>
<Second_Image>Title: University of Akron Arts and Sciences
Caption: University of Akron Arts and Sciences  Image of the Buchtel College of Arts and Sciences at the University of Akron.<\Second_Image>"	"""What color schemes do the buildings of Bartram Hall at the University of Florida and the Buchtel College of Arts and Sciences at the University of Akron share?"""	30335474	30290368	"['""The buildings of Bartram Hall at the University of Florida and the Buchtel College of Arts and Sciences at the University of Akron share red and white color schemes.""']"	color	 What is the name of the building on the left and what is the name of the building on the right?	What is the relationship between Bartram Hall at the University of Florida, known for its contributions to the sciences, and the Buchtel College of Arts and Sciences at the University of Akron, in terms of their respective focuses on arts and sciences education?
d5c9bc840dba11ecb1e81171463288e9	U.S. Coins	"<First_Image>Title: Roman coin, dupondius of Marcus Aurelius (FindID 630712)
Caption: Roman coin, dupondius of Marcus Aurelius (FindID 630712) Roman coin: dupondius of Marcus Aurelius<\First_Image>
<Second_Image>Title: Kavad I coin
Caption: Kavad I coin<\Second_Image>"	"""Which body part is found on both the Kavad I coin and the Roman coin dupondius of Marcus Aurelius?"""	30372056	30332016	"['""The body part found on both the Kavad I coin and the Roman coin Dupondius of Marcus Aurelius is a head.""']"	Others	 How are the reigns of Marcus Aurelius and Kavad I similar?	What is the connection between Marcus Aurelius, who is represented on a dupondius coin, and Kavad I, who is also depicted on a coin, in the context of their respective historical periods and geographical locations?
d5cd4ade0dba11ecb1e81171463288e9	tourist attractions	"<First_Image>Title: HK Ocean Park Mine Train 2009
Caption: HK Ocean Park Mine Train 2009<\First_Image>
<Second_Image>Title: Ocean Park 73, Hong Kong, Mar 06
Caption: Ocean Park 73, Hong Kong, Mar 06  Ocean Park, Hong Kong.<\Second_Image>"	"""Does the end of the Ocean Park Mine Train go higher than the top of the Ocean Park Ferris Wheel?"""	30213358	30163230	"['""No, the end of the Ocean Park Mine Train does not go higher than the top of the Ocean Park Ferris Wheel.""']"	YesNo	 What is the name of the roller coaster located in the amusement park in Hong Kong?	"Considering the increase in attractions from March 2006 (as depicted in the second image titled ""Ocean Park 73, Hong Kong, Mar 06"") to the more specific attraction of the Mine Train shown in 2009 (as depicted in the first image titled ""HK Ocean Park Mine Train 2009""), what developments or expansions at Ocean Park, Hong Kong could have occurred within this timeframe to enhance visitor experiences?"
d5c2eb840dba11ecb1e81171463288e9	Other	"<First_Image>Title: Crown Fountain (14996183943)
Caption: Crown Fountain (14996183943)<\First_Image>
<Second_Image>Title: Chicago Cityscape (14854317851)
Caption: Chicago Cityscape (14854317851)<\Second_Image>"	"""Are there trees found near both Navy Pier, Chicago Harbor, Chicago and Crown Fountain?"""	30057814	30318496	"['""Yes, there are trees found near both Navy Pier, Chicago Harbor, Chicago and Crown Fountain.""']"	YesNo	 What is the name of the famous fountain located in Chicago’s Millennium Park?	What is a feature found in the cityscape of Chicago that also serves as an interactive public art piece, as depicted in the provided images?
d5c7d1620dba11ecb1e81171463288e9	world expo pavilion	"<First_Image>Title: Poland's Pavillion at the 2010 World Expo in Shanghai
Caption: Poland's Pavillion at the 2010 World Expo in Shanghai Poland's Pavillion at the 2010 World Expo in Shanghai<\First_Image>
<Second_Image>Title: Portugal Pavilion of Expo 2010
Caption: Portugal Pavilion of Expo 2010 Portugal Pavilion of Expo 2010<\Second_Image>"	"""Which color is found at both the Poland and Portugal Pavilion at the 2010 World Expo?"""	30343650	30093972	"['""Brown is found at both the Poland and Portugal Pavilion at the 2010 World Expo.""']"	color	 What are the similarities and differences between the Poland Pavilion and Portugal Pavilion at the 2010 World Expo in Shanghai?	What design similarities exist between Poland's Pavilion and Portugal's Pavilion at the 2010 World Expo in Shanghai, based on their architectural features?
d5c5c1560dba11ecb1e81171463288e9	flora	"<First_Image>Title: Pink Lady's Slipper, Moccasin Flower, Stemless Lady's Slipper (Cypripedium acaule) - Flickr - Jay Sturner (3)
Caption: Pink Lady's Slipper, Moccasin Flower, Stemless Lady's Slipper (Cypripedium acaule) - Flickr - Jay Sturner (3)<\First_Image>
<Second_Image>Title: Lily of the valley
Caption: Lily of the valley<\Second_Image>"	"""Are the leaves of both the Lady slipper and the Lily of the valley hairy?"""	30187908	30277519	"['""They are not.""']"	YesNo	 What is the difference between a Pink Lady's Slipper and a Lily of the Valley?	What geographical regions do both the Pink Lady's Slipper (Cypripedium acaule) and the Lily of the Valley commonly inhabit, considering their depiction in the provided images?
d5c9ff8c0dba11ecb1e81171463288e9	public art	"<First_Image>Title: Riva degli Schiavoni, de Hermenegildo Estevan (Museo del Prado)
Caption: Riva degli Schiavoni, de Hermenegildo Estevan (Museo del Prado)<\First_Image>
<Second_Image>Title: La Riva degli Schiavoni en Venecia, por Martín Rico
Caption: La Riva degli Schiavoni en Venecia, por Martín Rico<\Second_Image>"	"""Which painting shows a point of view from the water, the ""Riva degli Schiavoni"" by Hermenegildo Estevan y Fernando or the ""La Riva degli Schiavoni en Venecia"" by Martín Rico?"""	30290183	30289357	"['""The ""La Riva degli Schiavoni en Venecia"" by Martín Rico shows a point of view from the water.""']"	choose	 How are the buildings in the background of both paintings similar?	"What common location depicted in the artworks ""Riva degli Schiavoni, de Hermenegildo Estevan (Museo del Prado)"" and ""La Riva degli Schiavoni en Venecia, por Martín Rico"" is also a famous waterfront promenade in Venice?"
d5ce90ec0dba11ecb1e81171463288e9	vista	"<First_Image>Title: One World Trade Center - New York, NY, USA - August 19, 2015 03
Caption: One World Trade Center - New York, NY, USA - August 19, 2015 03 One World Trade Center - New York, NY, USA<\First_Image>
<Second_Image>Title: View to One World Trade Center
Caption: View to One World Trade Center One World Trade Center, New York, USA<\Second_Image>"	"""Does the One World Trade Center stand taller than the buildings surrounding it?"""	30341116	30251785	"['""Yes, the One World Trade Center stands taller than the buildings surrounding it.""']"	YesNo	 What is the height of the One World Trade Center as seen from the 9/11 Memorial & Museum?	What is the relation between the tallest building completed in New York City in 2015 and the main subject of two images taken from different perspectives, both showcasing a significant landmark in New York, USA?
d5cb05080dba11ecb1e81171463288e9	hall of fame	"<First_Image>Title: Naismith statue, Almonte
Caption: Naismith statue, Almonte Sculpture Dr. James Naismith, Inventor of Basketball, sculptor: Elden Tefft, Lawrence, Kansas, dedicated 23 July 2011<\First_Image>
<Second_Image>Title: James Naismith
Caption: James Naismith James Naismith statue at Basketball Hall of Fame and Museum in Springfield, MA<\Second_Image>"	"""Is the stitching on the ball visible in both the Naismith statue in Almonte and the Naismith at Basketball Hall of Fame and Museum?"""	30108682	30145447	"['""The stitching on the ball is visible on only the Naismith at Basketball Hall of Fame and Museum statue.""']"	YesNo	 Where is the statue of Dr. James Naismith located?	What is the relationship between the location of the Naismith statue in Almonte, dedicated by Elden Tefft, and the location of the Basketball Hall of Fame and Museum where another statue of James Naismith is found?
d5bf28000dba11ecb1e81171463288e9	organ	"<First_Image>Title: Ponce Cathedral pipe organ in Ponce, Puerto Rico (IMG 3136)
Caption: Ponce Cathedral pipe organ in Ponce, Puerto Rico (IMG 3136) The pipe organ at the Catedral de Nuestra Senora de la Guadalupe (Ponce Cathedral) in Ponce, Puerto Rico<\First_Image>
<Second_Image>Title: Main pipe organ - Frauenkirche - Munich - Germany 2017
Caption: Main pipe organ - Frauenkirche - Munich - Germany 2017<\Second_Image>"	"""Which instrument has stained glass between it's two sets of chimes in a more prominent way;  Ponce Cathedral pipe organ in Ponce, Puerto Rico or Main pipe organ - Frauenkirche - Munich?"""	30022813	30107865	"['""The Ponce Cathedral pipe organ in Ponce, Puerto Rico has stained glass between its two sets of chimes in a more prominent way than the main pipe organ in the Frauenkirche in Munich.""']"	choose	 How are the pipe organs in the two images similar and different?	What connects the pipe organ at the Catedral de Nuestra Senora de la Guadalupe in Ponce, Puerto Rico to the main pipe organ in the Frauenkirche in Munich, Germany, and how does their historical or architectural significance compare?
d5c4f9420dba11ecb1e81171463288e9	artists	"<First_Image>Title: Auguste Renoir - La danse à la campagne
Caption: Auguste Renoir - La danse à la campagne<\First_Image>
<Second_Image>Title: Pierre-Auguste Renoir - The Dance in the Country - Google Art Project
Caption: Pierre-Auguste Renoir - The Dance in the Country - Google Art Project<\Second_Image>"	"""In the Pierre-Auguste Renoir painting ""La danse à la campagne"", are more people in the painting wearing items on their head than in ""The Dance in the Country""?"""	30254530	30315170	"['""In the Pierre-Auguste Renoir painting ""La danse à la campagne"", fewer people in the painting are wearing items on their head than in ""The Dance in the Country"".""']"	YesNo	 What are the differences between the painting and the sketch? How would you describe the brushstrokes in the painting?	"What is the common element connecting the artwork ""La danse à la campagne"" by Auguste Renoir with the piece titled ""The Dance in the Country"" featured in the Google Art Project, considering their titles and visual content?"
d5cdcec80dba11ecb1e81171463288e9	Other	"<First_Image>Title: Mirage Las Vegas December 2013
Caption: Mirage Las Vegas December 2013<\First_Image>
<Second_Image>Title: L'affiche des Beatles au Mirage Las Vegas
Caption: L'affiche des Beatles au Mirage Las Vegas<\Second_Image>"	"""Do the letters of the Mirage in Las Vegas light up at night?"""	30370160	30341508	"['""Yes, the letters light up at night.""']"	YesNo	 What is the name of the hotel with the Beatles mural on it in Las Vegas?	What is the connection between the Mirage Las Vegas as seen in December 2013 and the Beatles?
d5c0d8f80dba11ecb1e81171463288e9	vista	"<First_Image>Title: Casa Batlló, Barcelona 13
Caption: Casa Batlló, Barcelona 13 Casa Batllo, by architect Antoni Gaudi. Barcelona, Spain.<\First_Image>
<Second_Image>Title: Casa Batlló, Barcelona 15
Caption: Casa Batlló, Barcelona 15 Casa Batllo, by architect Antoni Gaudi. Barcelona, Spain.<\Second_Image>"	"""Does the Casa Batllo have stained glass with blue circles in both the interior and exterior of the building?"""	30185077	30372345	"['""The Casa Batllo has stained glass with blue circles in both the interior and exterior of the building.""']"	YesNo	 What is the name of the architect who designed Casa Batlló?	What is the architectural style of Casa Batlló, which was designed by Antoni Gaudí and located in Barcelona, Spain, and can you name another building by the same architect that exemplifies this style?
d5cd87a60dba11ecb1e81171463288e9	car	"<First_Image>Title: 2017 Jaguar XE Portfolio Diesel Automatic 2.0 Front
Caption: 2017 Jaguar XE Portfolio Diesel Automatic 2.0 Front 2017 Jaguar XE Portfolio Diesel Automatic 2.0 Front Taken in Leamington Spa<\First_Image>
<Second_Image>Title: Suzuki Jimny DDiS
Caption: Suzuki Jimny DDiS<\Second_Image>"	"""Which has a flatter rear, the Suzuki Jimny DDiS or the 2017 Jaguar XE Portfolio Diesel Automatic 2.0?"""	30129358	30137498	"['""The rear of the Suzuki Jimny DDiS is flatter\xa0than that of the 2017 Jaguar XE Portfolio Diesel Automatic 2.0.""']"	choose	 What are the differences between the 2017 Jaguar XE Portfolio Diesel Automatic 2.0 Front and the Suzuki Jimny DDiS?	What distinguishes the engine type of the 2017 Jaguar XE Portfolio from the Suzuki Jimny as per their titles, and which location is associated with the photograph of the Jaguar?
d5c0edb60dba11ecb1e81171463288e9	strange architecture	"<First_Image>Title: Dancing House-Prague-2
Caption: Dancing House-Prague-2 Dancing House in Prague.<\First_Image>
<Second_Image>Title: The Dancing House - Prague, Czech Republic - panoramio
Caption: The Dancing House - Prague, Czech Republic - panoramio<\Second_Image>"	"""How many crosswalks lead to the Dancing House in Prague?"""	30105073	30373836	"['""Two crosswalks lead to the Dancing House in Prague.""']"	number	 What is the name of the building in the Dancing House-Prague-2 image?	What architectural style is the Dancing House in Prague known for, and can you name another building that exemplifies this style?
